product_code,commercial_name,destination_type,is_signature,is_pickup,is_return,carrier_type
DOM,FR - DOMICILE sans signature,FRANCE,0,0,0,SANS_SIGNATURE
DOS,FR - DOMICILE avec signature,FRANCE,1,0,0,AVEC_SIGNATURE
BPR,FR - POINT RETRAIT,FRANCE,0,1,0,RELAIS
A2P,FR - POINT RETRAIT,FRANCE,0,1,0,RELAIS
CORE,RETOUR FRANCE,FRANCE,0,0,1,RETOUR
CDS,OM - DOMICILE avec signature,OM,1,0,0,AVEC_SIGNATURE
COM,OM - DOMICILE sans signature,OM,0,0,0,SANS_SIGNATURE
CORI,RETOUR OUTRE MER,OM,0,0,1,RETOUR
DOM,EU - DOMICILE sans signature,EUROPE,0,0,0,SANS_SIGNATURE
DOS,EU - DOMICILE avec signature,EUROPE,1,0,0,AVEC_SIGNATURE
BDP,EU - POINT RETRAIT,EUROPE,0,1,0,RELAIS
CMT,EU - POINT RETRAIT,EUROPE,0,1,0,RELAIS
PCS,EU - POINT RETRAIT,EUROPE,0,1,0,RELAIS
COLI,INT - DOMICILE avec signature,WORLDWIDE,1,0,0,AVEC_SIGNATURE
CORI,RETOUR INTERNATIONAL,WORLDWIDE,0,0,1,RETOUR
COLD,DOM - DOMICILE sans signature,INTRA_DOM,0,0,0,SANS_SIGNATURE
COL,DOM - DOMICILE avec signature,INTRA_DOM,1,0,0,AVEC_SIGNATURE
