clp_code,inovert_code,typology,internal_text
LIVBPO,LIVCFM,LIV,Votre colis est à disposition en boîte postale
LIVCFM,LIVCFM,LIV,Votre colis est livré.
LIVDIV,LIVCFM,LIV,Votre colis est livré mais le destinataire a signalé un emballage modérément dégradé.
LIVGAR,LIVGAR,LIV,Votre colis a été livré au gardien.
LIVRCA,LIVCFM,LIV,Votre colis est livré mais le destinataire a signalé un emballage fortement dégradé.
LIVRCC,LIVCFM,LIV,Votre colis est livré mais le destinataire a signalé un emballage fortement dégradé.
LIVRTI,LIVRTI,LIV,Votre colis a été livré au gardien ou à un voisin.
LIVVOI,LIVVOI,LIV,Votre colis est livré au voisin indiqué sur l’avis déposé dans la boîte aux lettres du destinataire.
AACALI,CITDOC,ANO,"La livraison de votre colis dans un espace Cityssimo est impossible, le destinataire n’est pas abonné à ce service."
AACEDI,CITDOC,ANO,Le colis ne peut être livré dans un automate de retrait Cityssimo en raison de l’absence de coordonnées du destinataire. Le colis sera retourné à l’expéditeur.
AARLIB,,ANO,"Votre colis a subi un incident. Nous vous remercions de prendre contact avec notre service clients, au 3631 pour les clients Particuliers auprès de vos interlocuteurs habituels pour les clients Entreprises."
AARTER,AARDVY,ANO,"Votre colis a subi une erreur de tri, il a maintenant repris son acheminement."
RCDDVY,RCDDVY,ANO,Votre colis est réacheminé vers un autre site de distribution en raison d’un défaut d’adressage.
RDVABS,RENARV,ANO,Votre colis n’a pu être livré car le destinataire était absent. Il sera prochainement recontacté pour convenir d’un nouveau rendez-vous.
RDVAIN,RENAIN,ANO,Votre colis n’a pas pu être livré sur rendez-vous. Le destinataire doit choisir une date de livraison.
RDVINC,RSTNCG,ANO,Votre colis n’a pas pu être livré sur rendez-vous. Le destinataire sera prochainement recontacté.
RDVREP,RENAIN,ANO,Votre colis est prêt à être livré sur rendez-vous. Nous sommes en attente de votre choix de créneau horaire.
RECALI,CITDOC,ANO,Votre colis n’a pas pu être livré dans l’espace Cityssimo suite à une erreur sur votre compte abonné
REFALI,CITDOC,ANO,"La livraison de votre colis dans l’espace Cityssimo est impossible, il est retourné à l’expéditeur."
REFCDS,CHGRCA,ANO,L’emballage de votre colis a été renforcé pour en assurer sa livraison. Il est en cours d’acheminement.
REFCEX,DCHRCA,ANO,Votre colis est retourné à l’expéditeur suite à un incident.
REFDDS,CHGRCA,ANO,L’emballage de votre colis a été renforcé pour en assurer sa livraison. Il est en cours d’acheminement.
REFDEX,DCHRCA,ANO,Votre colis est retourné à l’expéditeur suite à un incident.
REFISO,DCHRMA,ANO,Votre colis et/ou son étiquette sont endommagés. Votre colis est en cours de traitement
RENACO,CITDOC,ANO,La livraison de votre colis dans un espace Cityssimo est impossible. Le compte abonné est inactif ou résilié. Le colis est rééxpédié au domicile du destinataire.
RENACP,RSTFMA,ANO,"Votre colis ne peut être livré ce jour, l’accès à l’adresse de livraison étant impossible. Il sera remis en livraison au plus tôt."
